Topic,Count,Name,Representation,Representative_Docs
57,22,57_embassy_delhi_blast_police,"['embassy', 'delhi', 'blast', 'police', 'near', 'letter', 'addressed', 'ambassador', 'staff', '8216']","[' Israel Embassy Blast', 'Delhi Police get call about blast near Israel embassy; find letter addressed to Israeli ambassador', 'Delhi police investigates &#8216;blast&#8217; call near Israeli embassy in Delhi']"
58,22,58_babies_hospital_premature_baby,"['babies', 'hospital', 'premature', 'baby', 'incubators', 'newborns', 'evacuated', 'evacuate', 'shifa', 'al']","['Israel Army Says It Will Help Evacuate Babies From Gaza&#x27;s Al-Shifa Hospital', 'Premature babies evacuated from Gaza&#8217;s al-Shifa hospital for urgent treatment in Egypt', 'Gaza medics say 31 premature babies evacuated from Al-Shifa hospital']"
59,21,59_workers_batch_indians_haryana,"['workers', 'batch', 'indians', 'haryana', 'g2g', 'flight', 'construction', '230', 'indian', 'jobs']","['Haryana Government to Recruit 10,000 Skilled Workers for Jobs in Israel', 'First batch of Indian construction workers fly to Israel under G2G agreement', 'First batch workers from India under G2G agreement arrives in Israel to boost construction industry']"
60,21,60_syria_syrian_aleppo_airports,"['syria', 'syrian', 'aleppo', 'airports', 'soldiers', 'bus', 'damascus', 'kill', '36', 'personnel']","['Syria says Israeli missiles hit Damascus, Aleppo airports', 'Syria Reports Israeli Strikes On Damascus, Aleppo Airports Amid Hamas War', 'Israeli airstrikes hit Syrian airports in Damascus and Aleppo']"
61,21,61_membership_bid_palestine_palestinian,"['membership', 'bid', 'palestine', 'palestinian', 'vote', 'veto', 'assembly', 'authority', 'statehood', 'general']","['UN General Assembly set to back Palestinian bid for membership', 'US shoots down Palestine&#8217;s bid for full UN membership', "" US vetoes Palestine's bid for full UN membership ""]"
62,21,62_airdrop_airdrops_aid_conduct,"['airdrop', 'airdrops', 'aid', 'conduct', 'food', 'rsaf', 'tranche', 'dropping', 'jordan', 'air']","[' UAE, Egypt conduct largest humanitarian airdrop into northern Gaza ', ""Singapore's third tranche of aid for Gaza arrives in Jordan, RSAF airdrops to commence soon"", 'Singapore delivers third tranche of aid to Gaza, RSAF to conduct airdrops']"
63,20,63_jazeera_al_bureau_ban,"['jazeera', 'al', 'bureau', 'ban', 'family', 'offices', 'law', 'channel', 'owned', 'broadcasting']","['Video: Al Jazeera&#x27;s Gaza bureau chief loses entire family in Israeli airstrike', ""Israel passes law to ban Al Jazeera from broadcasting, Netanyahu calls it 'terrorist channel' "", 'Family of Al Jazeera journalist killed in Gaza strike']"
64,20,64_harris_kamala_vice_selma,"['harris', 'kamala', 'vice', 'selma', 'bloody', 'anniversary', 'age', 'memory', 'counsel', 'sunday']","['Vice President Kamala Harris to join in marking anniversary of Bloody Sunday on Alabama bridge', 'Vice President Kamala Harris returns to Selma to mark &#x27;Bloody Sunday&#x27; anniversary3 hours ago', ' Vice President Harris to mark &#x27;Bloody Sunday&#x27; anniversary in Selma']"
65,20,65_music_festival_260_survivor,"['music', 'festival', '260', 'survivor', 'supernova', 'concert', 'mars', 'fans', 'bruno', 'recounts']","[""At Least 260 Killed At Israeli Music Festival In Hamas Attack-Attendees Describe `Horror Movie'"", '#x27;We were hiding, running&#x27;: Israel music festival survivor recounts Hamas attack', 'Israel-Hamas conflict: 260 bodies recovered from music festival site']"
66,19,66_commander_abu_arouri_ayman,"['commander', 'abu', 'arouri', 'ayman', 'saleh', 'killed', 'airstrikes', 'nofal', 'murad', 'aerial']","['Top Hamas commander killed in Gaza in Israeli airstrike ', 'Top Hamas military commander Ayman Nofal killed in Israeli airstrikes in Gaza', 'Senior Hamas Commander Ayman Nofal Killed In Israeli Airstrikes In Gaza : Reports']"
67,19,67_workers_kitchen_aid_seven,"['workers', 'kitchen', 'aid', 'seven', 'central', 'chef', 'killed', 'systematically', 'andres', 'jose']","['Who were the seven aid workers killed in Gaza?', ' Several aid workers killed in Israeli strike on Gaza ', 'Who Were The 7 Aid Workers With World Central Kitchen Killed In Gaza?']"
68,19,68_hospital_500_hundreds_killed,"['hospital', '500', 'hundreds', 'killed', 'airstrike', 'ministry', 'blame', 'health', '39over', 'claiming']","['Hundreds killed in Israeli airstrike on Gaza City hospital, Health Ministry says', 'Over 500 people killed in Israeli airstrike on Gaza hospital: Health Ministry', '500 Palestinians Killed In Israeli Airstrike On Hospital: Hamas Ministry']"
